,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,y_test,y_pred
0,-0.365217672,-0.532277804,-0.699519323,0.111982539,-1.33011314,-1.592943896,-0.372548751,-0.352918369,0.43739614,1.06442598,1.597939057,1.498161696,-0.370573157,1.153691773,1.541929777,0.989264549,5,5
1,0.51832029,1.089548975,0.586132221,0.791512414,-0.10614284,0.169698097,0.550947063,0.704943341,0.365695472,-3.127636721,-2.516722684,-0.064089665,-1.007778419,-0.625351155,-0.102226228,-1.995235127,0,0
2,-0.518100978,-0.683993892,-0.836861575,-0.175909825,-1.236664599,-1.391983213,-0.521807385,-0.566452414,-0.103758717,0.648568359,1.240429165,1.358953845,-0.000974778,1.263821291,1.387802708,0.726306278,5,5
3,-0.678827951,-0.96554367,-1.139157141,-0.278714027,-1.663886191,-2.482812891,-0.684870091,-0.805075865,0.412487494,1.254523505,1.972582372,1.997702962,0.133443492,2.168057795,2.107283144,1.008148741,5,5
4,-0.788571087,-0.969347072,-0.961918988,-0.917662837,-0.432975394,-0.165137471,-0.787510592,-0.97790827,0.724802464,-0.043581438,0.394277788,0.344775916,1.223496776,0.858969734,0.309933262,0.104865549,3,3
5,-0.496513842,-0.687437954,-0.887169416,-0.029367937,-1.493561525,-1.990143125,-0.503334782,-0.535562312,0.797356231,1.13774009,1.540263778,1.733174951,-0.195958311,1.560261875,1.805513254,0.896747487,5,5
6,1.246246715,1.400368618,1.54216288,1.171795587,0.773085526,0.816023084,1.237959969,1.431034013,0.937958744,0.308294918,-0.501638867,-0.860789861,-1.343369289,-1.254734616,-0.868395074,-1.344350687,2,2
7,-0.363853556,-0.44482755,-0.806435558,0.287917449,-1.689741948,-2.566353369,-0.367040557,-0.351065374,0.282223119,0.449805127,0.820064006,2.03294997,-0.567377682,1.615864518,2.147898933,0.837451022,5,5
8,5.132067682,4.106571083,3.827885146,4.434847286,0.122829624,0.368487492,5.114586892,4.326216655,0.512310303,0.141845265,-0.400722335,-0.234249452,-2.995791635,-1.625344504,-0.269966488,0.062766493,1,1
9,-0.877886585,-1.150351692,-1.104543231,-1.060187942,-0.505323373,-0.249011064,-0.877287444,-1.125559066,1.054472136,0.104579975,0.883266649,0.438085094,1.502159934,1.11708207,0.405796794,0.519097531,3,3
10,-0.670745563,-0.875088028,-0.854278631,-0.664247084,-0.611719746,-0.379865113,-0.672879693,-0.792686037,0.929724302,0.507121667,1.132517487,0.567002382,0.739540293,0.840537334,0.539345307,0.74605665,3,3
11,-0.176117085,-0.106828746,0.030965998,-0.279753109,0.480204071,0.632841822,-0.182213765,-0.103889068,0.074520712,0.72153506,-0.081194135,-0.566047073,0.157440865,-0.490524269,-0.5906391,0.145186899,6,6
12,-0.395501048,-0.45584575,-0.437233772,-0.333051845,-0.299930737,-0.02066603,-0.398712674,-0.39428262,-0.633508298,0.474657451,0.575406087,0.208161954,0.226857532,0.200067246,0.170787871,0.411581033,3,6
13,0.021679741,0.219134505,0.522998255,-0.275180148,1.372846881,1.120392574,0.020884111,0.141598202,-1.751752832,-0.026430272,-0.748627202,-1.35305321,0.208037662,-1.026384657,-1.317383995,-2.014095959,4,4
14,-0.951480646,-1.259021665,-1.31599058,-1.040429237,-1.011542645,-0.969660662,-0.951681655,-1.252632939,-0.719186782,0.354328057,0.816108276,1.021265073,1.491640027,1.852850837,1.02011844,-0.459364004,3,3
15,4.145982295,3.434862222,3.15567422,3.95217288,-0.118071827,0.158605631,4.140073106,3.691752043,0.338860334,-0.165871045,-0.113038225,-0.02304755,-2.820750355,-1.456908655,-0.061434224,-0.98483944,1,1
16,-0.669756579,-0.820155697,-0.831643598,-0.68694302,-0.531257498,-0.280056458,-0.668983653,-0.791173005,-0.808883046,-0.036674021,0.602964476,0.467398705,0.785318642,0.757387626,0.436051132,0.513403004,3,3
17,-0.241935685,-0.281038576,-0.295494092,-0.072275248,-0.413040615,-0.142707816,-0.247539607,-0.18884488,0.622674022,0.705500368,0.676534656,0.333795429,-0.131252818,0.129794875,0.298696251,0.486827855,6,6
18,0.52043467,1.128348346,0.716915255,0.597775834,0.332109402,0.529340634,0.535933875,0.707205578,-1.011410588,-1.598898079,-2.68939244,-0.437201231,-0.866694113,-0.816342905,-0.467119376,-0.087023352,0,0
19,-1.060166591,-1.416767196,-1.34629661,-1.45792821,-0.346022616,-0.069353853,-1.058016676,-1.450731443,0.62517709,-0.189938426,0.561436898,0.270960769,2.447731619,1.412322692,0.234571998,0.857818393,3,3
